"Marqeta buys fintech Power Finance in $275M all-cash deal, its first acquisition",https://techcrunch.com/2023/01/30/marqeta-to-acquire-fintech-infrastructure-startup-power-finance-in-200m-all-cash-deal/,"Marqeta has agreed to acquire two-year-old fintech infrastructure startup Power Finance for $223 million in cash, marking the first acquisition in the publicly-traded company’s 13-year history. Abou"
Crypto security startup Hypernative raises $9M to help prevent web3 cyber attacks,https://techcrunch.com/2023/01/30/crypto-security-startup-hypernative-raises-9m-to-help-prevent-web3-cyber-attacks/,"Hypernative, a crypto security-focused startup, has raised $9 million in seed funding as it emerges from stealth, co-founder and CEO Gal Sagie exclusively told TechCrunch. The funding round was led by"
What do recent changes to state taxes mean for US SaaS startups?,https://techcrunch.com/2023/01/30/what-do-recent-changes-to-state-taxes-mean-for-us-saas-startups/,"While no business is exempt from taxes, it’s critical for startups to understand when they're liable for tax, and if offering a SaaS solution, how each set of local laws applies."
"Manu Jain, Xiaomi exec who set up and scaled India business, leaves",https://techcrunch.com/2023/01/30/manu-jain-xiaomi-exec-who-set-up-and-scaled-india-business-leaves/,"Manu Jain, the executive who helped Xiaomi set up and scale business in India, has left the company, he said Monday, joining a long list of high-profile departures at the local unit that is increasing"
Stashpad is a notepad for devs with a “DM to yourself” interface,https://techcrunch.com/2023/01/30/stashpad-is-a-notepad-for-devs-with-a-dm-to-yourself-interface/,It’s hard to develop a personal note taking habit. Many folks just resort to using a default app like Apple’s Notes app or sending something to themselves on Slack. It’s fine if you
"Elon takes the stand, Akio Toyoda hands over the CEO keys and layoffs come for Waymo",https://techcrunch.com/2023/01/30/elon-takes-the-stand-akio-toyoda-hands-over-the-ceo-keys-and-layoffs-come-for-waymo/,The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive the full edition of the newsletter every weekend in your inbox. Sub
Sorare teams up with the Premier League for its NFT fantasy football game,https://techcrunch.com/2023/01/30/sorare-teams-up-with-the-premier-league-for-its-nft-fantasy-football-game/,French startup Sorare has signed a four-year licensing partnership with the Premier League. This is an important move for the company as the English football league is one of the most-watched sports l
Walmart-backed PhonePe’s nine-month 2022 revenue surged to $234 million,https://techcrunch.com/2023/01/29/walmart-backed-phonepe-revenue-and-projections/,"PhonePe clocked a revenue of $234.3 million in the first nine months of 2022, the most valuable Indian fintech startup has disclosed in a filing. The nine-month financials marks a jump from the $201.6"
China smartphone market slumps to 10-year low in 2022,https://techcrunch.com/2023/01/29/chinas-smartphone-10-year-low-2022/,"After a decade of frantic growth, China’s smartphone market is hitting a speed bump as COVID-19 roils the world’s second-largest economy. The country’s smartphone shipments dropped 1"
Eazy Digital helps Southeast Asia’s small insurers digitize their operations,https://techcrunch.com/2023/01/29/eazy-digital/,"Founded by two insurance industry veterans, Eazy Digital wants to give small insurance companies in Southeast Asia the same advantage as their larger competitors. Its SaaS platform lets insurers digit"
What’s Stripe’s deal?,https://techcrunch.com/2023/01/29/fintech-whats-stripes-deal/,"Welcome to The Interchange! If you received this in your inbox, thank you for signing up and your vote of confidence. If you’re reading this as a post on our site, sign up here so you can receive"
"VC funding to Black web3 founders popped last year, bucking trends",https://techcrunch.com/2023/01/29/vc-funding-to-black-web3-startups-popped-last-year-bucking-trends/,"Funding for Black web3 founders has only increased, and the crypto winter proved the most fruitful year."
"Stripe eyes an exit, Dell bets on the cloud, and Shutterstock embraces generative AI",https://techcrunch.com/2023/01/28/stripe-eyes-an-exit-dell-bets-on-the-cloud-and-shutterstock-embraces-generative-ai/,"Hey, party people, it’s Kyle, continuing to step in for Greg to write Week in Review as he spends time with his newborn. Dunno about y’all, but it’s been a week. I’m dead tired"
"This Week in Apps: Temu’s hot streak, Walmart’s m-commerce & an Apple XR App Store",https://techcrunch.com/2023/01/28/this-week-in-apps-temus-hot-streak-walmarts-m-commerce-an-apple-xr-app-store/,"Welcome back to This Week in Apps, the weekly TechCrunch series that recaps the latest in mobile OS news, mobile applications and the overall app economy. The app economy in 2023 hit a few snags, as c"
The latecomer advantage in startups,https://techcrunch.com/2023/01/28/the-latecomer-advantage-in-startups/,"Welcome to Startups Weekly, a nuanced take on this week’s startup news and trends by Senior Reporter and Equity co-host Natasha Mascarenhas. To get this in your inbox, subscribe here. Sometimes, due"
Where should sales sit in product-led companies?,https://techcrunch.com/2023/01/28/where-should-sales-sit-in-product-led-companies/,The adoption of product-led growth is changing how B2B companies conduct their business and leading some of them to reorganize their teams.
"Aptos wants to shake up the blockchain space by creating more economic value, co-founder says",https://techcrunch.com/2023/01/28/aptos-wants-to-shake-up-the-blockchain-space-by-creating-more-economic-value-co-founder-says/,"Welcome back to Chain Reaction, a podcast diving deep into stories, backgrounds and the latest news with the biggest names in crypto. For this week’s episode, I sat down with Mo Shaikh, co-found"
Toyota’s surprise executive shakeup may disappoint investors,https://techcrunch.com/2023/01/28/toyotas-surprise-executive-shakeup-may-disappoint-investors/,"The 66-year-old Akio Toyoda may have resigned as president, but it appears likely that he'll still be in control."
"Fifth Wall, focused on real estate tech and managing $3.2B, looks to eat up even more of its market",https://techcrunch.com/2023/01/27/fifth-wall-focused-on-real-estate-tech-and-managing-3-2b-looks-to-eat-up-even-more-of-its-market/,Brendan Wallace’s ambition is beginning to seem almost limitless. The L.A.-based venture firm that Wallace and cofounder Brad Greiwe launched less than seven years ago already has $3.2 billion i
NASA’s ‘Mega Moon Rocket’ aced first flight and is ready for crewed Artemis II launch,https://techcrunch.com/2023/01/27/nasas-mega-moon-rocket-aced-first-flight-and-is-ready-for-crewed-artemis-ii-launch/,"The enormous Space Launch System passed its first test with flying colors, NASA’s preliminary analysis concludes, and the rocket and Orion capsule are good to go for their next mission: Artemis"
